Formato,Zona,Distrito,Suc SAP,Sucursal,Calle,Colonia,Municipio,Estado,Ciudad,CP,var_ventas,var_ov,var_ticket,month,latitud,longitud
Coppel,Noroeste,Distrito 4,B932,COPPEL EXPLANADA CULIACAN,BLVD JESUS KUMATE RODRIGUEZ,Las Flores,Culiacán,Sinaloa,Culiacán Rosales,80104,119.7,-50.0,339.3,Enero,24.7978965,-107.393395
Devlyn,Noroeste,Distrito 4,B871,EXPLANADA CULIACAN,BLVD JESUS KUMATE RODRIGUEZ,Las Flores,Culiacán,Sinaloa,Culiacán Rosales,80104,10.5,-6.0,17.5,Enero,24.7978965,-107.393395
Devlyn,Noroeste,Distrito 4,A750,FORUM CULIACAN,BLVD JOSE DIEGO VALADES RIOS,Cuauhtémoc,Culiacán,Sinaloa,Culiacán Rosales,80027,-17.7,-45.4,50.7,Enero,24.7978965,-107.393395
Devlyn,Noreste,Distrito 1,A829,AGUASCALIENTES VILLASUNCION,BLVD JOSE MA. CHAVEZ,Agricultura,Aguascalientes,Aguascalientes,Aguascalientes,20234,-2.3,-8.7,7.0,Enero,21.880487,-102.2967195
Devlyn,Centro,Distrito 6,A307,LEON PLAZA MAYOR,BLVD JUAN A. TORRES,Lomas del Campestre,León,Guanajuato,León de los Aldama,37150,10.0,-3.1,13.5,Enero,21.121965,-101.6829766
Devlyn,Centro,Distrito 6,B038,GALERIAS LAS TORRES LEON,BLVD JUAN ALONSO DE TORRES,San José del Consuelo,León,Guanajuato,León de los Aldama,37200,-31.2,-21.3,-12.5,Enero,21.121965,-101.6829766
Devlyn,Noroeste,Distrito 1,A764,GALERIAS DEL VALLE,BLVD LAZARO CARDENAS,El Porvenir,Mexicali,Baja California,Mexicali,21220,-3.5,3.5,-6.8,Enero,32.6405247,-115.474899
Devlyn,Noroeste,Distrito 1,A827,TIJUANA PLAZA OTAY,BLVD LAZARO CARDENAS,Mesa de Otay,Tijuana,Baja California,Tijuana,22430,-19.3,12.0,-28.0,Enero,32.51475775,-116.96240415
Devlyn,Noreste,Distrito 2,B011,POZA RICA PLAZA KRYSTAL,BLVD LAZARO CARDENAS,Morelos,Poza Rica de Hidalgo,Veracruz de Ignacio de la Llave,Poza Rica de Hidalgo,93340,-24.4,-23.1,-1.7,Enero,20.53116074251807,-97.46979937504445
Devlyn,Noroeste,Distrito 1,A886,MEXICALI PLAZA NUEVA,BLVD LAZARO CARDENAS,Pimsa Ii,Mexicali,Baja California,Mexicali,21397,24.5,10.1,13.1,Enero,32.6405247,-115.474899
Coppel,Noreste,Distrito 2,A594,COPPEL CARDENAS (POZA RICA),BLVD LAZARO CARDENAS DEL RIO,Santa Emilia,Poza Rica de Hidalgo,Veracruz de Ignacio de la Llave,Poza Rica de Hidalgo,93210,13.1,1.6,11.3,Enero,20.537657449999998,-97.44512479987276
