Formato,Zona,Distrito,Suc SAP,Sucursal,Calle,Colonia,Municipio,Estado,Ciudad,CP,var_ventas,var_ov,var_ticket,month,latitud,longitud
Sears,Sur,Distrito 5,B277,SEARS CENTRO MINATITLAN,AV HIDALGO,Minatitlan Centro,Minatitlán,Veracruz de Ignacio de la Llave,Minatitlán,96700,-16.3,-13.2,-3.6,Febrero,17.992773,-94.5567103
Devlyn,Noreste,Distrito 4,B017,CD ACUÑA CENTRO,AV HIDALGO OTE,Ciudad Acuña Centro,Acuña,Coahuila de Zaragoza,Ciudad Acuña,26200,-19.9,-31.6,17.1,Febrero,29.3248796,-100.9322287
Coppel,Centro,Distrito 2,A561,COPPEL SAN MIGUEL (CUAUTITLAN IZC.),AV HUEHUETOCA,Jardines de la Hacienda Sur,Cuautitlán Izcalli,Estado de México,Cuautitlán Izcalli,54720,-17.2,-30.4,18.9,Febrero,19.6531356,-99.2145002
Devlyn,Centro,Distrito 2,A859,IZCALLI PLAZA SAN MIGUEL,AV HUEHUETOCA,Tres de Mayo,Cuautitlán Izcalli,Estado de México,Cuautitlán Izcalli,54760,-5.9,-7.8,2.0,Febrero,19.6531356,-99.2145002
Devlyn,Noreste,Distrito 3,B436,SORIANA SAN PEDRO,AV HUMBERTO LOBO,San Pedro Garza García Centro,San Pedro Garza García,Nuevo León,San Pedro Garza García,66200,18.9,11.4,6.7,Febrero,25.65271255,-100.37223790945575
Devlyn,Noroeste,Distrito 2,B861,CD CUAUHTEMOC CENTRO,AV IGNACIO ALLENDE,Ciudad Cuauhtémoc Centro,Cuauhtémoc,Chihuahua,Cuauhtémoc,31500,-98.8,-61.5,-96.9,Febrero,28.4009579,-106.8665305
Devlyn,Metropolitana,Distrito 5,B045,IXTAPAN DE LA SAL CENTRO,AV IGNACIO ALLENDE,Ixtapan de la Sal,Ixtapan de la Sal,Estado de México,Tezoyuca,51900,64.4,125.0,-26.9,Febrero,19.5902244,-98.9079359
Devlyn,Metropolitana,Distrito 2,A933,OAXACA CENTRO,AV INDEPENDENCIA,Oaxaca Centro,Oaxaca de Juárez,Oaxaca,Oaxaca de Juárez,68000,-10.4,-21.0,13.5,Febrero,17.096586799999997,-96.72078156904958
Devlyn,Noroeste,Distrito 4,B004,LOS MOCHIS CENTRO,AV INDEPENDENCIA,Primer Cuadro (Centro),Ahome,Sinaloa,Los Mochis,81200,-7.2,-18.1,13.4,Febrero,25.7928058,-108.990188
Devlyn,Metropolitana,Distrito 2,A874,INDEPENDENCIA CENTRO (TEHUACAN),AV INDEPENDENCIA,Tehuacán Centro,Tehuacán,Puebla,Tehuacán,75700,-17.7,-22.8,6.6,Febrero,18.465801149999997,-97.39783479972402
